Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
1000genome-chameleon-12ch-250k-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-12ch-250k-001,8,9204787.202436,9368673.308998,9204787.202436,9557935.057056,4320.210825,4336.321014,4320.210825,4350.307061
1000genome-chameleon-12ch-250k-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-12ch-250k-001,16,9462093.243110,9683884.258863,9462093.243110,9850818.685033,2189.986526,2211.094531,2189.986526,2232.416631
1000genome-chameleon-18ch-250k-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-18ch-250k-001,2,14099300.582345,14195851.425651,14099300.582345,14317890.082138,25943.068129,25945.313618,25943.068129,25948.496473
1000genome-chameleon-18ch-250k-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-18ch-250k-001,4,14133448.390155,14279082.459999,14133448.390155,14394390.211063,12986.726001,12995.775713,12986.726001,13010.004040
1000genome-chameleon-18ch-250k-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-18ch-250k-001,8,14081851.061570,14264339.459657,14081851.061570,14500764.097620,6534.752280,6549.632039,6534.752280,6561.394791
1000genome-chameleon-18ch-250k-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,1000genome-chameleon-18ch-250k-001,16,14439058.522077,14650015.274764,14439058.522077,14846384.455394,3281.154646,3304.247176,3281.154646,3336.535386
cycles-chameleon-1l-1c-9p-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-1l-1c-9p-001,2,230994.754565,247308.716890,230994.754565,262601.780434,584.061084,598.128329,584.061084,606.292463
cycles-chameleon-1l-1c-9p-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-1l-1c-9p-001,4,265694.383135,274042.404819,265694.383135,287860.220781,355.048019,373.750437,355.048019,384.543575
cycles-chameleon-1l-1c-9p-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-1l-1c-9p-001,8,323368.033683,333030.697078,323368.033683,341090.477449,279.890020,281.831464,279.890020,283.588530
cycles-chameleon-1l-1c-9p-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-1l-1c-9p-001,16,382547.971563,397087.568579,382547.971563,411720.226608,235.611497,236.436065,235.611497,237.689763
cycles-chameleon-2l-1c-9p-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-2l-1c-9p-001,2,1044259.172224,1080599.241638,1044259.172224,1100904.227507,2136.085492,2148.847742,2136.085492,2204.367791
cycles-chameleon-2l-1c-9p-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-2l-1c-9p-001,4,1050688.077181,1119976.773110,1050688.077181,1176549.907549,1135.503162,1160.948238,1135.503162,1184.688320
cycles-chameleon-2l-1c-9p-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-2l-1c-9p-001,8,1107998.969127,1189757.051837,1107998.969127,1217149.143198,659.473658,681.563983,659.473658,689.669567
cycles-chameleon-2l-1c-9p-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-2l-1c-9p-001,16,1224107.991708,1242282.922241,1224107.991708,1267581.258570,430.172652,441.037177,430.172652,446.540405
cycles-chameleon-2l-1c-12p-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-2l-1c-12p-001,2,2555530.834726,2596592.845678,2555530.834726,2643459.195612,4952.235099,4958.803291,4952.235099,4967.358071
cycles-chameleon-2l-1c-12p-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-2l-1c-12p-001,4,2591504.995449,2658348.934971,2591504.995449,2707229.132218,2587.979087,2595.438502,2587.979087,2603.091553
cycles-chameleon-2l-1c-12p-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-2l-1c-12p-001,8,2650110.299795,2699345.433713,2650110.299795,2761274.478334,1416.672448,1420.096033,1416.672448,1424.034859
cycles-chameleon-2l-1c-12p-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-2l-1c-12p-001,16,2792436.628432,2849144.112761,2792436.628432,2925291.463852,830.559070,831.201336,830.559070,833.256508
cycles-chameleon-5l-1c-12p-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-5l-1c-12p-001,2,4911709.694930,4972584.311101,4911709.694930,5033032.202896,9439.773465,9478.299256,9439.773465,9494.379602
cycles-chameleon-5l-1c-12p-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-5l-1c-12p-001,4,4846074.918917,5062527.608782,4846074.918917,5142042.348010,4918.626039,4942.725979,4918.626039,4960.768383
cycles-chameleon-5l-1c-12p-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-5l-1c-12p-001,8,5136202.799403,5233239.059243,5136202.799403,5325314.326731,2689.172634,2699.531089,2689.172634,2705.554685
cycles-chameleon-5l-1c-12p-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,cycles-chameleon-5l-1c-12p-001,16,5402287.897596,5504848.254097,5402287.897596,5581587.121645,1565.696777,1570.627774,1565.696777,1573.070340
epigenomics-chameleon-hep-1seq-100k-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-hep-1seq-100k-001,2,111231.964847,134404.886470,111231.964847,147518.702179,351.242033,351.429450,351.242033,352.081824
epigenomics-chameleon-hep-1seq-100k-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-hep-1seq-100k-001,4,122719.934931,143427.165919,122719.934931,149250.260577,216.942191,219.586404,216.942191,225.802845
epigenomics-chameleon-hep-1seq-100k-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-hep-1seq-100k-001,8,159698.260318,165020.870697,159698.260318,175297.011908,148.189369,172.990516,148.189369,183.023873
epigenomics-chameleon-hep-1seq-100k-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-hep-1seq-100k-001,16,199803.289485,207402.857592,199803.289485,214523.965626,134.548681,134.963654,134.548681,135.330077
epigenomics-chameleon-hep-6seq-100k-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-hep-6seq-100k-001,2,3853893.506418,4037056.559615,3853893.506418,4096273.029139,7772.759674,7775.427780,7772.759674,7777.698433
epigenomics-chameleon-hep-6seq-100k-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-hep-6seq-100k-001,4,3992064.124804,4119218.896873,3992064.124804,4216927.557383,3964.169826,3974.441093,3964.169826,3986.558053
epigenomics-chameleon-hep-6seq-100k-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-hep-6seq-100k-001,8,4099678.953447,4186215.056876,4099678.953447,4248359.954597,2417.929113,2778.240038,2417.929113,3003.603682
epigenomics-chameleon-hep-6seq-100k-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-hep-6seq-100k-001,16,3988328.860546,4137347.387886,3988328.860546,4297160.506416,1677.393863,1838.426779,1677.393863,1933.135404
epigenomics-chameleon-ilmn-1seq-100k-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-ilmn-1seq-100k-001,2,672415.754515,740349.563988,672415.754515,773483.333190,1544.518548,1545.116007,1544.518548,1546.072883
epigenomics-chameleon-ilmn-1seq-100k-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-ilmn-1seq-100k-001,4,739399.777205,777219.626193,739399.777205,814236.616546,813.157919,822.493712,813.157919,831.275959
epigenomics-chameleon-ilmn-1seq-100k-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-ilmn-1seq-100k-001,8,768968.151753,786409.769156,768968.151753,810372.416233,481.017316,493.035299,481.017316,499.985506
epigenomics-chameleon-ilmn-1seq-100k-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-ilmn-1seq-100k-001,16,708167.875600,744750.560612,708167.875600,772087.146738,290.296113,295.802617,290.296113,302.829754
epigenomics-chameleon-ilmn-6seq-100k-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-ilmn-6seq-100k-001,2,3625305.344014,3690718.901062,3625305.344014,3745439.400716,6885.324021,6887.075971,6885.324021,6888.479220
epigenomics-chameleon-ilmn-6seq-100k-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-ilmn-6seq-100k-001,4,3693710.953054,3734701.066851,3693710.953054,3771902.574776,3521.765025,3528.139302,3521.765025,3533.254119
epigenomics-chameleon-ilmn-6seq-100k-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-ilmn-6seq-100k-001,8,3683616.656342,3801125.587167,3683616.656342,3865103.645722,1868.266966,1873.870966,1868.266966,1883.730928
epigenomics-chameleon-ilmn-6seq-100k-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,epigenomics-chameleon-ilmn-6seq-100k-001,16,3550111.122877,3611434.691268,3550111.122877,3691835.634283,1328.363707,1360.208514,1328.363707,1399.922423
montage-chameleon-2mass-01d-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,montage-chameleon-2mass-01d-001,2,87352.620601,97130.827140,87352.620601,102333.991066,214.235572,215.019326,214.235572,215.589568
montage-chameleon-2mass-01d-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,montage-chameleon-2mass-01d-001,4,93501.453825,99815.122155,93501.453825,106703.347904,116.456099,117.555392,116.456099,118.117532
montage-chameleon-2mass-01d-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,montage-chameleon-2mass-01d-001,8,101764.865073,107636.933246,101764.865073,111590.195699,70.854376,71.451790,70.854376,72.019250
montage-chameleon-2mass-01d-001-hosts-16-min-energy-UM-mono-active,min-energy-UM-mono-active,montage-chameleon-2mass-01d-001,16,106339.750474,112770.202395,106339.750474,121165.566697,48.839386,49.249275,48.839386,49.609633
montage-chameleon-2mass-005d-001-hosts-2-min-energy-UM-mono-active,min-energy-UM-mono-active,montage-chameleon-2mass-005d-001,2,48224.605727,54727.574440,48224.605727,61369.845374,130.557023,130.709344,130.557023,131.167864
montage-chameleon-2mass-005d-001-hosts-4-min-energy-UM-mono-active,min-energy-UM-mono-active,montage-chameleon-2mass-005d-001,4,47106.534661,55956.721297,47106.534661,60358.699171,71.931771,72.691505,71.931771,73.377504
montage-chameleon-2mass-005d-001-hosts-8-min-energy-UM-mono-active,min-energy-UM-mono-active,montage-chameleon-2mass-005d-001,8,54359.872182,57980.947407,54359.872182,61680.345074,47.266761,48.193881,47.266761,48.574332
