Execution,Algorithm,Workflow,Hosts,Best ENERGY,Mean ENERGY,Min ENERGY,Max ENERGY,Best MAKESPAN,Mean MAKESPAN,Min MAKESPAN,Max MAKESPAN
epigenomics-chameleon-ilmn-6seq-100k-001-hosts-16-multi-makespan-mono,multi-makespan-mono,epigenomics-chameleon-ilmn-6seq-100k-001,16,4099585.023085,4106369.936558,4099585.023085,4111908.310991,981.014392,982.817430,981.014392,984.185507
montage-chameleon-2mass-01d-001-hosts-2-multi-makespan-mono,multi-makespan-mono,montage-chameleon-2mass-01d-001,2,122768.019576,122872.665508,122768.019576,122990.471653,213.556067,213.724531,213.556067,213.949598
montage-chameleon-2mass-01d-001-hosts-4-multi-makespan-mono,multi-makespan-mono,montage-chameleon-2mass-01d-001,4,125211.559189,125577.772376,125211.559189,126438.009405,113.661277,114.632774,113.661277,114.955864
montage-chameleon-2mass-01d-001-hosts-8-multi-makespan-mono,multi-makespan-mono,montage-chameleon-2mass-01d-001,8,133065.545429,133769.378332,133065.545429,134879.674276,66.915747,67.182872,66.915747,67.414298
montage-chameleon-2mass-01d-001-hosts-16-multi-makespan-mono,multi-makespan-mono,montage-chameleon-2mass-01d-001,16,137721.883563,138597.680798,137721.883563,139123.109281,36.378353,36.401138,36.378353,36.414282
montage-chameleon-2mass-005d-001-hosts-2-multi-makespan-mono,multi-makespan-mono,montage-chameleon-2mass-005d-001,2,74765.543731,74820.119795,74765.543731,74839.281916,130.027139,130.131958,130.027139,130.180831
montage-chameleon-2mass-005d-001-hosts-4-multi-makespan-mono,multi-makespan-mono,montage-chameleon-2mass-005d-001,4,76766.729018,78269.434974,76766.729018,78940.038468,70.263294,70.777103,70.263294,71.257360
montage-chameleon-2mass-005d-001-hosts-8-multi-makespan-mono,multi-makespan-mono,montage-chameleon-2mass-005d-001,8,79752.480011,80638.803509,79752.480011,81165.687419,37.201341,37.512260,37.201341,37.719431
montage-chameleon-2mass-005d-001-hosts-16-multi-makespan-mono,multi-makespan-mono,montage-chameleon-2mass-005d-001,16,91952.244121,92509.745914,91952.244121,92786.550738,26.214033,26.214518,26.214033,26.215646
montage-chameleon-dss-10d-001-hosts-2-multi-makespan-mono,multi-makespan-mono,montage-chameleon-dss-10d-001,2,12509510.309176,12514449.794320,12509510.309176,12518651.923912,21755.797269,21764.664121,21755.797269,21771.904817
